xtf_id,Name,HeatPotential_MWha,HeatSupplierCategory,_x,_y
98123,Papierfabrik Tela,3200,12,2620290,1236030
99200,Wangen-Wiedlisbach,6700,12,2617780,1231700
99400,Herzogenbuchsee  (Wanzwil),12400,12,2619500,1227800
100100,Doppleschwand (Entlebuch),6300,12,2647751,1207875
100401,Soerenberg,600,12,2644350,1186525
100402,Fluehli,600,12,2543900,1195520
100900,Werthenstein (Blindei),3900,12,2649551,1211550
102400,Emmen (Buholz),142300,12,2666851,1215750
103100,Hochdorf,9800,12,2633851,1225200
103300,Inwil (Eschenbach),8500,12,2669251,1218850
103500,Mosen (Hitzkirchertal),6400,12,2660251,1232950
106500,Root (Rontal),21400,12,2672101,1218960
106603,Schwarzenberg/Dorf,1000,12,2656126,1206950
106700,Udligenswil,1700,12,2672951,1215075
106902,Weggis/Vitznau (Luetzelau),4500,12,2677826,1208720
108300,Buttisholz,2100,12,2648221,1218280
109800,Ruswil,4000,12,2650876,1214240
110200,Sempach,7900,12,2656861,1219340
110400,Triengen (Surental),29500,12,2648251,1230000
113400,Dagmersellen (Oberes Wiggertal),28600,12,2640351,1231225
120101,Altdorf,24200,12,2690601,1193400
120200,Andermatt,1400,12,2688200,1166300
120401,Bauen,100,12,2686911,1198970
120800,Goeschenen,300,12,2688140,1169160
121100,Isenthal,400,12,2686841,1196370
121500,Seelisberg,500,12,2686701,1204400
121700,Sisikon,200,12,2690001,1200500
122000,Wassen,300,12,2689020,1173110
130101,Einsiedeln  (Rabennest),10700,12,2699601,1222100
130103,Euthal (Oberes Sihltal),2900,12,2704481,1215200
131102,Gersau,1600,12,2681401,1205200
132200,Freienbach (Hoefe),22900,12,2700501,1229200
134300,Innerthal,100,12,2712451,1218240
134400,Lachen (Untermarch),22700,12,2707851,1228850
134600,Obermarch,7400,12,2715501,1226600
134800,Vorderthal,700,12,2710551,1221820
136700,Muotathal,3300,12,2696001,1205000
137000,Rothenthurm,1900,12,2693451,1218620
137100,Sattel,1400,12,2690101,1214400
137200,Schwyz,22500,12,2689901,1207500
140100,Alpnach (Sarneraatal),23900,12,2664601,1199250
140200,Engelberg,3300,12,2672151,1186325
140400,Kerns (Melchtal),400,12,2665021,1187820
150200,Buochs (Aumuehle),11800,12,2674181,1203500
150700,Hergiswil (Lopper),4500,12,2666301,1203500
150900,Stans (Rotzwinkel),16600,12,2668901,1202450
160200,Bilten (Gl Mittel+unterl. ),35600,12,2719501,1224900
170200,Cham (Schoenau),114000,12,2676001,1228000
170400,Menzingen (Finstersee),300,12,2690701,1225125
170500,Neuheim,1600,12,2686926,1229325
200400,Bussy (Aipg),4100,12,2558700,1187300
201200,Delley,1600,12,2563300,1197000
201300,Domidier (Aide),5500,12,2567450,1191700
201700,Font/Estavayer-Le-Lac,9100,12,2553170,1187960
202900,Montagny-Les-Monts,1600,12,2564700,1185800
206800,Châtonnaye,800,12,2561500,1178500
207200,Ecublens (Vog),15600,12,2552250,1162650
209600,Romont,9500,12,2561400,1172560
210100,Torny-Le-Grand,300,12,2563899,1180053
212400,Broc (Aicg),11000,12,2573400,1162100
212700,Charmey (Aece),2700,12,2578700,1162900
216100,Vuippens (Ais),25300,12,2572550,1168350
217300,Autigny (Aegn),10500,12,2569100,1175800
218500,Corserey,300,12,2595950,1180600
219600,Fribourg,34800,12,2579000,1184800
220000,Grolley,2000,12,2571320,1187200
220200,Lentigny,800,12,2566300,1178800
220600,Marly (Aegn),15600,12,2576270,1181070
221900,Posieux,1900,12,2575520,1179770
222800,Villars-Sur-Glane,13100,12,2575200,1181500
224300,Barbereche/Pensier (Aesc),14300,12,2577300,1188200
226500,Kerzers,6900,12,2580400,1202650
227200,Misery,600,12,2570800,1189600
227400,Morat Muntelier (Murten),11600,12,2577000,1199000
227900,Villarepos,500,12,2570008,1193813
231000,Zumholz (Sense-Oberland),3600,12,2589565,1178670
240700,Oensingen (Falkenstein),16700,12,2622920,1237980
242300,Gaensbrunnen,50,12,2602106,1234869
244400,Bibern,200,12,2602030,1222020
245400,Luesslingen,900,12,2604815,1227180
245700,Messen (Limpachtal),3900,12,2601450,1217250
247900,Rodersdorf,1600,12,2601400,1259701
248000,Seewen,800,12,2614700,1253200
249200,Kienberg,300,12,2639421,1255080
250100,Winznau (Zv Olten),41600,12,2637951,1245550
253400,Zuchwil (Soloth. -Emme),72200,12,2610000,1229700
254200,Bellach (Be-Lomm. -Lan. ),5800,12,2604275,1228312
254400,Feldbrunnen-St.  Niklaus,800,12,2608850,1229615
254501,Flumenthal (Unt. Leberberg),3800,12,2612730,1231300
254600,Grenchen (Buerenamt),35500,12,2598150,1225000
255500,Ruettenen,1000,12,2607150,1230550
255600,Selzach,2700,12,2601750,1227450
257500,Fulenbach (Aaregaeu),3100,12,2630500,1236200
257800,Gunzgen (Gaeu),11100,12,2629800,1241600
258300,Schoenenwerd,15900,12,2643301,1248150
261801,Himmelried/Ost (Waldeck),400,12,2611120,1252300
261802,Himmelried/West (Schindelboden),300,12,2609890,1252500
261900,Kleinluetzel,1000,12,2600000,1253200
262100,Nunningen,1500,12,2612613,1250251
262200,Zullwil (Meltingen),1000,12,2611350,1249600
270101,Basel,213800,12,2612100,1270276
276600,Birsfelden (Birs Ii),65700,12,2614001,1266051
277500,Therwil (Birsig),19500,12,2608900,1261701
278300,Burg,200,12,2600400,1256500
278800,Liesberg,900,12,2600800,1250100
279000,Roggenburg (Saegemuehle),200,12,2592580,1254270
279300,Zwingen (Laufental-L-Tal),18600,12,2607900,1254300
282300,Bubendorf (Frenke Iii),9700,12,2622251,1257100
282500,Fuellinsdorf (Ergolz Ii),28900,12,2621501,1262640
282700,Hersberg,300,12,2625721,1260025
283100,Pratteln/Rhein,20500,12,2619601,1264401
284100,Anwil,400,12,2637451,1255350
284400,Buus,700,12,2631451,1262150
284700,Haefelfingen,200,12,2631876,1251800
284800,Hemmiken,200,12,2633771,1259550
285100,Kilchberg/Zeglingen,500,12,2635001,1252530
285300,Maisprach,700,12,2630151,1263840
285400,Nusshof,200,12,2627401,1260320
285500,Oltingen,300,12,2637401,1254075
286001,Ruenenberg Nord,300,12,2633001,1254000
286002,Ruenenberg Sued,300,12,2633151,1253400
286100,Sissach (Ergolz I),22700,12,2627401,1257625
286500,Wenslingen,600,12,2635151,1254350
286600,Wintersingen,400,12,2629101,1261600
288100,Arboldswil,400,12,2621651,1251525
288200,Bennwil,400,12,2626451,1251075
288300,Bretzwil,500,12,2616500,1250900
288700,Lampenberg,400,12,2624001,1253275
289000,Liedertswil,100,12,2621601,1249125
289100,Niederdorf (Frenke Ii),4200,12,2624151,1251450
289400,Titterten,300,12,2620701,1250080
293100,Bargen,200,12,2688145,1293783
293700,Neuhausen A/Rhf.  (Roeti),44400,12,2688701,1281250
293800,Ruedlingen,1200,12,2685351,1270200
295100,Beggingen,300,12,2681261,1291100
295200,Schleitheim,1300,12,2676344,1288739
296300,Ramsen (Bibertal-Hegau),77800,12,2703401,1283300
